"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA","","","","","","",""
"DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR","","","","","","",""
"DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2022","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2022 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA EN AGRONEGOCIOS","2","1","3"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA EN ALIMENTOS","32","10","42"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN AUTOMATIZACION","6","1","7"
"UNIVERSIDAD CRISTIANA DE LAS ASAMBLEAS DE DIOS","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN CIENCIAS DE LA COMPUTACION","6","3","9"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN CIENCIAS DE LA COMPUTACION","45","14","59"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN CIENCIAS DE LA COMPUTACION","67","15","82"
"UNIVERSIDAD FRANCISCO GAVIDIA Regional Santa Ana","PRIVADO","Santa Ana","INGENIERÍA","INGENIERIA EN CIENCIAS DE LA COMPUTACION","4","0","4"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN CIENCIAS DE LA COMPUTACIÓN","0","0","0"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN CIENCIAS DE LA COMPUTACIÓN","0","0","0"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN CIENCIAS DE LA COMPUTACIÓN- NO PRESENCIAL","23","4","27"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN CIENCIAS DE LA COMPUTACIÓN- SEMIPRESENCIAL","3","9","12"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA EN COMPUTACION","1","0","1"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN CONTROL ELÉCTRICO","16","2","18"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN DESARROLLO DE CONTENIDOS DIGITALES Y ROBÓTICA APLICADA","0","0","0"
"ESCUELA ESPECIALIZADA EN INGENIERIA ITCA-FEPADE","PÚBLICO","La Libertad","INGENIERÍA","INGENIERIA EN DESARROLLO DE SOFTWARE","0","0","0"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA EN DESARROLLO DE SOFTWARE","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA EN DESARROLLO DE SOFTWARE","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","INGENIERÍA","INGENIERÍA EN DESARROLLO DE SOFTWARE","0","0","0"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN DESARROLLO DE SOFTWARE","0","0","0"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","INGENIERÍA","INGENIERÍA EN DESARROLLO DE SOFWARE","0","0","0"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN DISENO Y DESARROLLO DE VIDEOJUEGOS","0","0","0"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA EN ELECTRONICA Y COMUNICACIONES","0","13","13"
